curator,Randgalt,2013-03-11T20:53:05
curator,Randgalt,2013-03-11T20:03:46
curator,Randgalt,2013-03-11T18:31:18
curator,Randgalt,2013-03-11T06:48:52
curator,Randgalt,2013-03-11T00:27:56
curator,Randgalt,2013-03-10T23:19:57
curator,Randgalt,2013-03-10T22:59:16
curator,Randgalt,2013-03-10T22:44:21
curator,Randgalt,2013-03-10T21:42:15
curator,Randgalt,2013-03-10T20:51:12
curator,Randgalt,2013-03-10T20:37:02
curator,Randgalt,2013-03-10T20:25:45
curator,Randgalt,2013-03-10T20:13:30
curator,Randgalt,2013-03-10T17:35:27
curator,Randgalt,2013-03-10T17:17:31
curator,Randgalt,2013-03-10T06:36:15
curator,Randgalt,2013-03-10T06:32:50
curator,Randgalt,2013-03-10T05:59:28
curator,Randgalt,2013-03-10T05:02:44
curator,Randgalt,2013-03-10T04:43:30
curator,Randgalt,2013-03-10T04:26:08
curator,Randgalt,2013-03-10T03:53:16
curator,Randgalt,2013-03-10T01:56:11
curator,Randgalt,2013-03-10T01:33:51
curator,Randgalt,2013-03-09T22:09:40
curator,Randgalt,2013-03-09T20:03:20
curator,Randgalt,2013-03-08T22:37:45
curator,Randgalt,2013-03-08T22:11:17
curator,Randgalt,2013-03-08T21:51:29
curator,Randgalt,2013-03-07T23:10:53
curator,Randgalt,2013-03-07T22:54:59
curator,Randgalt,2013-03-06T20:42:03
curator,Randgalt,2013-03-04T21:26:27
curator,Randgalt,2013-03-02T15:09:06
curator,Randgalt,2013-03-02T15:09:01
curator,Randgalt,2013-03-02T15:03:42
curator,wsorenson,2013-03-01T16:03:33
curator,Randgalt,2013-03-01T00:22:44
curator,Randgalt,2013-02-28T19:23:22
curator,Randgalt,2013-02-21T01:00:15
curator,Randgalt,2013-02-21T00:59:59
curator,Randgalt,2013-02-18T22:17:49
curator,Randgalt,2013-02-12T01:35:42
curator,Randgalt,2013-02-08T21:08:26
curator,Randgalt,2013-02-08T21:08:20
curator,None,0
curator,None,0
curator,Randgalt,2013-02-06T22:49:33
curator,Randgalt,2013-02-06T22:48:41
curator,Randgalt,2013-02-06T22:38:29
curator,Randgalt,2013-02-06T22:35:24
curator,Randgalt,2013-02-06T22:35:06
curator,Randgalt,2013-02-06T19:06:49
curator,Randgalt,2013-01-29T19:52:31
curator,Randgalt,2013-01-29T19:33:40
curator,Randgalt,2013-01-28T19:15:00
curator,Randgalt,2013-01-28T19:10:48
curator,None,0
curator,None,0
curator,Randgalt,2013-01-28T19:00:21
curator,Randgalt,2013-01-28T18:59:42
curator,Randgalt,2013-01-28T18:59:31
curator,Randgalt,2013-01-28T18:59:08
curator,Randgalt,2013-01-26T04:42:49
curator,Randgalt,2013-01-24T20:38:40
curator,Randgalt,2013-01-24T19:01:44
curator,Randgalt,2013-01-24T19:00:01
curator,Randgalt,2013-01-24T18:53:21
curator,Randgalt,2013-01-24T18:49:23
curator,Randgalt,2013-01-24T18:23:48
curator,Randgalt,2013-01-24T18:22:36
curator,Randgalt,2013-01-23T21:56:53
curator,Randgalt,2013-01-23T21:49:37
curator,Randgalt,2013-01-23T18:30:52
curator,Randgalt,2013-01-23T18:24:09
curator,Randgalt,2013-01-23T18:15:05
curator,Randgalt,2013-01-23T00:52:06
curator,Randgalt,2013-01-14T23:28:05
curator,Randgalt,2013-01-11T22:00:29
curator,Randgalt,2013-01-11T21:59:46
curator,Randgalt,2013-01-11T21:32:53
curator,Randgalt,2013-01-11T21:30:41
curator,Randgalt,2013-01-11T18:14:39
curator,None,0
curator,None,0
curator,Randgalt,2013-01-10T22:48:56
curator,Randgalt,2013-01-10T22:48:17
curator,Randgalt,2013-01-10T22:47:55
curator,Randgalt,2013-01-08T00:01:30
curator,Randgalt,2013-01-08T00:00:53
curator,Randgalt,2013-01-07T23:01:47
curator,Randgalt,2013-01-07T23:01:03
curator,Randgalt,2013-01-07T22:17:42
curator,Randgalt,2013-01-07T22:16:20
curator,Randgalt,2013-01-07T19:00:49
curator,Randgalt,2013-01-02T23:42:54
curator,Randgalt,2013-01-02T23:20:34
curator,None,0
curator,None,0
curator,Randgalt,2013-01-01T23:36:46
curator,Randgalt,2013-01-01T23:36:07
curator,Randgalt,2013-01-01T23:35:36
curator,Randgalt,2012-12-30T08:51:49
curator,Randgalt,2012-12-29T00:01:00
curator,Randgalt,2012-12-28T21:51:40
curator,Randgalt,2012-12-21T22:12:50
curator,Randgalt,2012-12-21T22:10:50
curator,Randgalt,2012-12-21T22:07:24
curator,Randgalt,2012-12-21T21:55:24
curator,Randgalt,2012-12-21T18:29:37
curator,Randgalt,2012-12-20T18:30:43
curator,Randgalt,2012-12-20T18:30:22
curator,Randgalt,2012-12-20T18:28:45
curator,Randgalt,2012-12-20T01:03:43
curator,Randgalt,2012-12-20T01:02:31
curator,Randgalt,2012-12-20T00:11:50
curator,Randgalt,2012-12-19T21:11:55
curator,Randgalt,2012-12-19T20:31:00
curator,Randgalt,2012-12-19T20:24:45
curator,Randgalt,2012-12-19T19:52:32
curator,Randgalt,2012-12-19T19:49:00
curator,Randgalt,2012-12-18T19:30:18
curator,Randgalt,2012-12-16T22:48:18
curator,Randgalt,2012-12-16T00:36:11
curator,Randgalt,2012-12-16T00:33:54
curator,Randgalt,2012-12-14T21:46:28
curator,Randgalt,2012-12-14T21:45:10
curator,Randgalt,2012-12-14T21:44:26
curator,Randgalt,2012-12-14T18:56:32
curator,Randgalt,2012-12-14T18:55:54
curator,Randgalt,2012-12-01T23:03:01
curator,Randgalt,2012-12-01T00:02:43
curator,Randgalt,2012-11-30T23:52:47
curator,Randgalt,2012-11-30T23:52:13
curator,Randgalt,2012-11-30T18:05:32
curator,Randgalt,2012-11-27T22:51:23
curator,None,0
curator,None,0
curator,Randgalt,2012-11-27T19:41:57
curator,Randgalt,2012-11-27T19:41:15
curator,Randgalt,2012-11-27T01:00:45
curator,Randgalt,2012-11-26T21:38:40
curator,Randgalt,2012-11-26T21:06:01
curator,Randgalt,2012-11-26T21:05:47
curator,Randgalt,2012-11-26T19:46:12
curator,Randgalt,2012-11-25T05:38:36
curator,dougnukem,2012-11-22T05:49:32
curator,Randgalt,2012-11-23T21:15:25
curator,Randgalt,2012-11-23T21:08:30
curator,Randgalt,2012-11-23T21:08:24
curator,Randgalt,2012-11-23T21:06:36
curator,dougnukem,2012-11-22T06:24:21
curator,dougnukem,2012-11-22T06:17:29
curator,dougnukem,2012-11-22T05:49:32
curator,Randgalt,2012-11-21T22:54:17
curator,Randgalt,2012-11-21T22:38:33
curator,dougnukem,2012-11-21T03:51:38
curator,Randgalt,2012-11-20T21:02:27
curator,Randgalt,2012-11-20T21:01:26
curator,Randgalt,2012-11-20T00:43:21
curator,Randgalt,2012-11-20T00:43:01
curator,Randgalt,2012-11-20T00:20:58
curator,Randgalt,2012-11-17T21:23:35
curator,Randgalt,2012-11-17T00:15:49
curator,Randgalt,2012-11-12T17:50:01
curator,Randgalt,2012-11-10T22:50:38
curator,Randgalt,2012-11-10T00:06:48
curator,Randgalt,2012-11-09T23:25:05
curator,Randgalt,2012-11-09T22:52:39
curator,Randgalt,2012-11-09T22:13:39
curator,Randgalt,2012-11-09T21:41:43
curator,Randgalt,2012-11-09T21:25:32
curator,Randgalt,2012-11-09T21:09:24
curator,Randgalt,2012-11-09T18:52:37
curator,Randgalt,2012-11-09T18:03:24
curator,Randgalt,2012-11-09T02:38:36
curator,Randgalt,2012-11-07T18:46:19
curator,Randgalt,2012-11-06T23:12:42
curator,Randgalt,2012-11-06T23:08:32
curator,Randgalt,2012-11-02T20:36:13
curator,None,0
curator,None,0
curator,Randgalt,2012-11-02T17:20:09
curator,Randgalt,2012-11-02T17:19:41
curator,Randgalt,2012-11-02T17:16:43
curator,Randgalt,2012-11-02T17:15:50
curator,Randgalt,2012-11-02T00:12:12
curator,Randgalt,2012-11-02T00:11:58
curator,Randgalt,2012-11-02T00:10:10
curator,Answashe,2012-11-01T22:42:04
curator,Answashe,2012-11-01T18:55:23
curator,Randgalt,2012-10-30T17:48:12
curator,Randgalt,2012-10-30T17:30:51
curator,Randgalt,2012-10-30T17:23:37
curator,Randgalt,2012-10-28T20:49:11
curator,Randgalt,2012-10-27T18:56:14
curator,Randgalt,2012-10-27T18:55:57
curator,Randgalt,2012-10-22T22:16:51
curator,Randgalt,2012-10-22T21:59:17
curator,Randgalt,2012-10-22T21:59:17
curator,Randgalt,2012-10-22T21:58:57
curator,Randgalt,2012-10-21T22:58:53
curator,Randgalt,2012-10-21T22:57:46
curator,Randgalt,2012-10-21T22:56:56
curator,Randgalt,2012-10-21T22:56:35
curator,Randgalt,2012-10-16T23:11:37
curator,Randgalt,2012-10-16T22:44:30
curator,Randgalt,2012-10-12T21:23:22
curator,Randgalt,2012-10-12T21:22:50
curator,Randgalt,2012-10-11T20:37:29
curator,Randgalt,2012-10-11T20:25:24
curator,Randgalt,2012-10-11T20:24:59
curator,Randgalt,2012-10-11T20:08:15
curator,Randgalt,2012-10-11T19:43:45
curator,Randgalt,2012-10-11T19:43:07
curator,Randgalt,2012-10-11T18:30:49
curator,Randgalt,2012-10-10T22:35:49
curator,Randgalt,2012-10-10T22:35:20
curator,Randgalt,2012-10-10T22:34:47
curator,Randgalt,2012-10-10T22:34:08
curator,Randgalt,2012-10-10T21:59:31
curator,Randgalt,2012-10-10T21:25:27
curator,Randgalt,2012-10-10T20:08:13
curator,Randgalt,2012-10-10T20:07:47
curator,Randgalt,2012-10-10T19:58:52
curator,Randgalt,2012-10-10T19:58:23
curator,Randgalt,2012-10-10T18:58:13
curator,Randgalt,2012-10-10T18:57:26
curator,Randgalt,2012-10-10T18:55:33
curator,Randgalt,2012-10-10T18:53:52
curator,Randgalt,2012-10-10T17:53:30
curator,Randgalt,2012-10-08T18:03:35
curator,Randgalt,2012-10-08T18:03:03
curator,Randgalt,2012-10-06T16:49:59
curator,Randgalt,2012-10-06T16:48:24
curator,Randgalt,2012-10-06T16:45:03
curator,Randgalt,2012-10-06T16:36:11
curator,Randgalt,2012-10-05T16:36:16
curator,Randgalt,2012-10-03T22:33:47
curator,Randgalt,2012-10-03T22:33:30
curator,Randgalt,2012-10-03T20:50:44
curator,Randgalt,2012-10-03T20:45:47
curator,Randgalt,2012-10-03T06:02:55
curator,Randgalt,2012-10-03T06:01:48
curator,Randgalt,2012-10-03T06:01:39
curator,Randgalt,2012-10-01T01:27:26
curator,Randgalt,2012-10-01T01:27:04
curator,Randgalt,2012-10-01T01:26:12
curator,Randgalt,2012-10-01T01:22:39
curator,Randgalt,2012-10-01T01:22:22
curator,Randgalt,2012-10-01T01:20:13
curator,Randgalt,2012-10-01T01:18:59
curator,Randgalt,2012-10-01T01:18:08
curator,Randgalt,2012-10-01T01:17:47
curator,Randgalt,2012-10-01T01:17:08
curator,Randgalt,2012-10-01T01:15:54
curator,Randgalt,2012-09-30T19:13:59
curator,Randgalt,2012-09-30T19:12:20
curator,Randgalt,2012-09-30T19:11:22
curator,Randgalt,2012-09-30T19:08:41
curator,Randgalt,2012-09-30T19:07:00
curator,Randgalt,2012-09-30T19:05:55
curator,Randgalt,2012-09-30T19:04:50
curator,Randgalt,2012-09-30T19:04:17
curator,Randgalt,2012-09-30T19:00:31
curator,Randgalt,2012-09-30T18:59:18
curator,Randgalt,2012-09-30T18:55:44
curator,Randgalt,2012-09-30T18:55:01
curator,Randgalt,2012-09-30T18:54:06
curator,Randgalt,2012-09-30T18:51:20
curator,Randgalt,2012-09-30T18:47:40
curator,Randgalt,2012-09-30T18:46:16
curator,Randgalt,2012-09-30T18:41:28
curator,Randgalt,2012-09-30T17:45:59
curator,Randgalt,2012-09-25T23:13:02
curator,Randgalt,2012-09-25T23:12:40
curator,Randgalt,2012-09-25T23:12:21
curator,Randgalt,2012-09-25T22:02:22
curator,Randgalt,2012-09-25T21:30:03
curator,Randgalt,2012-09-25T21:19:02
curator,Randgalt,2012-09-25T21:18:54
curator,Randgalt,2012-09-25T21:18:22
curator,Randgalt,2012-09-25T21:18:04
curator,quidryan,2012-09-24T21:53:11
curator,Randgalt,2012-09-19T07:37:34
curator,quidryan,2012-09-06T22:27:23
curator,Randgalt,2012-09-06T21:30:19
curator,Randgalt,2012-09-06T21:28:47
curator,Randgalt,2012-09-06T17:01:41
curator,Randgalt,2012-09-06T17:00:59
curator,quidryan,2012-09-05T23:33:00
curator,Randgalt,2012-09-05T18:11:50
curator,Randgalt,2012-09-05T18:10:05
curator,Randgalt,2012-09-05T15:30:37
curator,Randgalt,2012-09-05T15:29:27
curator,Randgalt,2012-09-05T15:28:23
curator,Randgalt,2012-09-05T06:26:39
curator,Randgalt,2012-09-05T06:23:45
curator,Randgalt,2012-09-04T21:06:28
curator,Randgalt,2012-09-04T21:03:05
curator,Randgalt,2012-09-04T21:02:44
curator,Randgalt,2012-09-04T21:01:39
curator,Randgalt,2012-09-04T20:56:47
curator,Randgalt,2012-09-04T20:56:35
curator,Randgalt,2012-09-04T20:54:25
curator,Randgalt,2012-09-04T20:50:36
curator,Randgalt,2012-09-04T20:49:32
curator,Randgalt,2012-09-04T18:52:34
curator,Randgalt,2012-09-04T18:51:37
curator,quidryan,2012-09-04T18:46:58
curator,Randgalt,2012-09-04T02:53:41
curator,Randgalt,2012-09-04T01:22:36
curator,Randgalt,2012-09-04T01:21:52
curator,Randgalt,2012-09-04T00:46:48
curator,Randgalt,2012-09-04T00:45:41
curator,Randgalt,2012-09-04T00:41:00
curator,Randgalt,2012-09-04T00:40:20
curator,Randgalt,2012-09-04T00:38:59
curator,Randgalt,2012-09-04T00:33:55
curator,Randgalt,2012-09-04T00:30:48
curator,Randgalt,2012-09-04T00:26:18
curator,Randgalt,2012-09-04T00:21:35
curator,Randgalt,2012-09-03T22:32:33
curator,Randgalt,2012-09-03T22:18:36
